OBJECTID,ASSETID,ID,Location,TOOLTIP,NLA_URL
1532,18839,57077,VAN NUYS  BL   AT   BEACHY  AV,VAN NUYS  BL   AT   BEACHY  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=57077
1533,18845,58084,PEORIA  ST  AT  GLENOAKS  BL,PEORIA  ST  AT  GLENOAKS  BL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=58084
1534,18853,60335,VALERIO ST AT GENESTA AV,VALERIO ST AT GENESTA AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=60335
1535,18870,58404,DE SOTO AV  AT  SAN  JOSE  ST,DE SOTO AV  AT  SAN  JOSE  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=58404
1536,18883,58571,CHATSWORTH ST   AT   CANOGA AV,CHATSWORTH ST   AT   CANOGA AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=58571
1537,17186,26884,BARRYKNOLL  DR W/O EL PASO DR,BARRYKNOLL  DR W/O EL PASO DR,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=26884
1538,17191,30692,VAN NESS AV S/O SANTA MONICA BL,VAN NESS AV S/O SANTA MONICA BL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=30692
1539,18055,24103,DOROTHY  ST   AT   WESTGATE  AV,DOROTHY  ST   AT   WESTGATE  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=24103
1540,18059,22597,DREXEL AV AT SWEETZER AV,DREXEL AV AT SWEETZER AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=22597
1541,18060,24190,BUNDY  DR  AT  GOSHEN  AV,BUNDY  DR  AT  GOSHEN  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=24190
1542,18061,24214,BUNDY  DR  AT  GOSHEN  AV,BUNDY  DR  AT  GOSHEN  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=24214
1543,18066,23003,CROFT  AV  AT  BEVERLY  BL,CROFT  AV  AT  BEVERLY  BL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=23003
1544,18070,23777,JUNALUSKA WAY   AT   ALMAR AVE,JUNALUSKA WAY   AT   ALMAR AVE,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=23777
1545,18075,25464,HYPERION  AV  AT  ROWENA  AV,HYPERION  AV  AT  ROWENA  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=25464
1546,18079,24343,BROCKTON  AV   AT   NEBRASKA  AV,BROCKTON  AV   AT   NEBRASKA  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=24343
